band,image,time,flux,fluxerr
g,0,56150,0.0,0.0
g,0,56160,0.0,0.0
g,0,56170,0.0,0.0
g,0,56180,0.0,0.0
g,0,56188,7.728299617767334,0.2779981851577759
g,0,56190,11.233541488647461,0.33516476154327396
g,0,56200,21.881208419799805,0.4677735328674317
g,0,56210,14.778434753417969,0.3844273090362549
g,0,56220,11.588868141174316,0.34042427539825443
g,0,56230,10.439703941345215,0.3231053113937378
g,0,56240,8.657731056213379,0.29424023628234863
g,0,56250,9.786133766174316,0.31282796859741213
g,0,56254,4.920266628265381,0.2218167304992676
g,0,56260,4.430490970611572,0.21048731803894044
g,0,56270,0.0,0.0
g,1,56150,0.0,0.0
g,1,56160,0.0,0.0
g,1,56170,0.0,0.0
g,1,56180,0.0,0.0
g,1,56188,27.884803771972656,0.5280606269836426
g,1,56190,65.02032470703125,0.8063518524169923
g,1,56200,81.68075561523438,0.9037740707397461
g,1,56210,42.933223724365234,0.6552344799041748
g,1,56220,38.15224838256836,0.6176750659942627
g,1,56230,37.79319763183594,0.6147617340087891
g,1,56240,21.630348205566406,0.46508436203002934
g,1,56250,18.70722007751465,0.43251843452453614
g,1,56254,1.9145070945247866e-11,4.3755080696428196e-07
g,1,56260,2.233168511223127e-11,4.7256412472052034e-07
g,1,56270,0.0,0.0
i,0,56150,0.0,0.0
i,0,56160,0.0,0.0
i,0,56170,0.0,0.0
i,0,56180,0.0,0.0
i,0,56188,4.6276507625897523e-10,2.151197440980468e-06
i,0,56190,7.900784969329834,0.281083345413208
i,0,56200,38.36256408691406,0.6193751811981202
i,0,56210,32.407554626464844,0.5692763328552246
i,0,56220,19.12664222717285,0.43734016418457033
i,0,56230,14.490038871765137,0.3806578397750855
i,0,56240,9.718118667602539,0.3117389678955078
i,0,56250,3.0734387257425055e-10,1.7531225239508786e-06
i,0,56254,2.407372044765932e-11,4.906497906631557e-07
i,0,56260,2.549709575416781e-11,5.049465016782051e-07
i,0,56270,0.0,0.0
i,1,56150,0.0,0.0
i,1,56160,0.0,0.0
i,1,56170,0.0,0.0
i,1,56180,0.0,0.0
i,1,56188,48.037837982177734,0.6930933475494385
i,1,56190,86.98002624511719,0.9326308250427247
i,1,56200,190.18238830566406,1.379066276550293
i,1,56210,144.3306121826172,1.201376724243164
i,1,56220,109.61320495605469,1.0469632148742676
i,1,56230,41.22639083862305,0.6420778274536133
i,1,56240,67.2034683227539,0.8197772026062012
i,1,56250,22.998611450195312,0.4795686721801758
i,1,56254,1.3737909247690805e-11,3.706468532982399e-07
i,1,56260,1.5512075998702635e-11,3.938537247449858e-07
i,1,56270,0.0,0.0
r,0,56150,0.0,0.0
r,0,56160,0.0,0.0
r,0,56170,0.0,0.0
r,0,56180,0.0,0.0
r,0,56188,1.2379255294799805,0.11126210689544679
r,0,56190,14.166473388671875,0.3763837575912476
r,0,56200,49.01078796386719,0.7000770568847656
r,0,56210,39.88409423828125,0.6315385341644287
r,0,56220,19.515174865722656,0.4417598247528076
r,0,56230,1.7121789455413818,0.13085025548934937
r,0,56240,2.0728645189205253e-10,1.4397445738723037e-06
r,0,56250,5.160288862882112e-11,7.183515208453174e-07
r,0,56254,1.830587070816847e-11,4.2785359255503863e-07
r,0,56260,2.0596175806519845e-11,4.5383008000499104e-07
r,0,56270,0.0,0.0
r,1,56150,0.0,0.0
r,1,56160,0.0,0.0
r,1,56170,0.0,0.0
r,1,56180,0.0,0.0
r,1,56188,82.74516296386719,0.9096436500549316
r,1,56190,126.48086547851562,1.1246371269226074
r,1,56200,272.7633972167969,1.651555061340332
r,1,56210,184.1943359375,1.3571821212768556
r,1,56220,84.90321350097656,0.921429443359375
r,1,56230,35.1015510559082,0.5924656391143799
r,1,56240,21.568357467651367,0.4644174575805664
r,1,56250,9.733965873718262,0.3119930505752564
r,1,56254,2.5315105914303082e-11,5.031412001699209e-07
r,1,56260,2.7295676136018798e-11,5.224526375968708e-07
r,1,56270,0.0,0.0
